Date,Close,High,Low,Open,Volume,SMA_short,SMA_long,EMA_short,EMA_long,Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,MACD_Line,Signal_Line,MACD_Hist,PE_Ratio,PB_Ratio,ROE,DE_Ratio,EPS,Dividend_Yield,Market_Cap,Symbol,mean_sentiment,sentiment_count
,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2025-04-24,385.9557800292969,387.10181303671203,373.8878249819962,374.3960646492269,22232300,,,385.9557800292969,385.9557800292969,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-04-25,390.4900207519531,390.79894240871675,383.2651831703409,385.65684745985266,18973200,,,386.38761247907365,386.1335933909697,4.53424072265625,4.53424072265625,-0.0,0.6045654296875,-0.0,6045654296.875,99.9999999834592,0.361705812633545,0.072341162526709,0.289364650106836,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-04-28,389.80242919921875,391.37693221129894,385.2981274275963,390.59964052478745,16579400,,,386.71283311908746,386.27746930501866,-0.687591552734375,0.0,0.687591552734375,0.5239567057291667,0.0916788736979166,5.715130264968267,85.10825612398264,0.5861209458162193,0.175097119184611,0.4110238266316082,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-04-29,392.67242431640625,393.7287429695286,389.02512333213684,389.9419132819562,14974000,,,387.28041323311777,386.5282518544848,2.8699951171875,2.8699951171875,-0.0,0.8367618272569446,0.0794550238715277,10.531263933793785,91.32792375804202,0.984210806566182,0.3369198566609253,0.6472909499052566,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-04-30,393.88818359375,395.2833185411371,383.10572919383554,388.94537633492024,36461100,,,387.9097246960352,386.81687662857365,1.21575927734375,1.21575927734375,-0.0,0.887294820601852,0.0688610206886574,12.885298703508829,92.79813836667915,1.3818721405992278,0.5459103134485859,0.8359618271506419,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-05-01,423.9235534667969,435.47332427713997,423.4252888222868,429.6137271918364,58938100,,,391.3396131503934,388.2720404261511,30.035369873046875,30.035369873046875,-0.0,4.773704827594521,0.0596795512635031,79.98895310920125,98.76526370374036,4.073666256673334,1.2514615020935356,2.822204754579799,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-05-02,433.769287109375,437.91485278651635,428.49763841940904,430.2415647531947,30757400,,,395.3805344798202,390.0562461784344,9.845733642578123,9.845733642578123,-0.0,5.449975336259001,0.0517222777617026,105.36997928375052,99.05988512291384,6.921612863185715,2.385491774311972,4.536121088873743,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-05-05,434.65618896484375,437.97461808249534,430.6102521137275,431.367624097433,20136100,,,399.1210730022034,391.8052635426073,0.88690185546875,0.88690185546875,-0.0,4.8415655388203005,0.0448259740601423,108.00803865019076,99.08263646206036,9.144781288517038,3.737349677152985,5.407431611364053,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-05-06,431.8061218261719,436.2107948487266,429.6735648726689,430.6999888667604,15104200,,,402.2339347949623,393.37392465176674,-2.850067138671875,0.0,2.850067138671875,4.196023466977594,0.4188581293417067,10.017767766790689,90.92375133360352,10.555010097432271,5.100881761208843,5.45412833622343,35.0,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
