Date,Close,High,Low,Open,Volume,SMA_short,SMA_long,EMA_short,EMA_long,Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,MACD_Line,Signal_Line,MACD_Hist,PE_Ratio,PB_Ratio,ROE,DE_Ratio,EPS,Dividend_Yield,Market_Cap,Symbol,mean_sentiment,sentiment_count
,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2025-04-25,390.4900207519531,390.79894240871675,383.2651831703409,385.65684745985266,18973200,,,390.4900207519531,390.4900207519531,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-04-28,389.8023986816406,391.3769015704532,385.2980972626593,390.59960994479576,16579400,,,390.4245329357329,390.4630551805684,-0.6876220703125,0.0,0.6876220703125,0.0,0.0916829427083333,0.0,0.0,-0.054853042646016,-0.0109706085292032,-0.0438824341168128,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0,0.0
2025-04-29,392.67242431640625,393.7287429695286,389.02512333213684,389.9419132819562,14974000,,,390.6386178291304,390.549697107464,2.870025634765625,2.870025634765625,-0.0,0.3826700846354167,0.0794585503472222,4.815971131655493,82.80596692515985,0.1317439465744314,0.0175723024915237,0.1141716440829077,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.0780922198172198,42.0
2025-04-30,393.88818359375,395.2833185411371,383.10572919383554,388.94537633492024,36461100,,,390.9481002829037,390.6806181461418,1.21575927734375,1.21575927734375,-0.0,0.4937486436631945,0.0688640769675925,7.16990142618992,87.7599502388812,0.3734204594375114,0.0887419338807212,0.2846785255567902,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.11973356304985337,62.0
2025-05-01,423.9235534667969,435.47332427713997,423.4252888222868,429.6137271918364,58938100,,,394.0886196337506,391.9842626685204,30.035369873046875,30.035369873046875,-0.0,4.432631474247685,0.0596822000385802,74.27057768283187,98.67145964494426,2.954496572386006,0.6618928615817783,2.292603710804228,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.1908809017957351,90.0
2025-05-02,433.769287109375,437.91485278651635,428.49763841940904,430.2415647531947,30757400,,,397.8677308219053,393.6228910779657,9.845733642578123,9.845733642578123,-0.0,5.154378430025077,0.0517245733667695,99.65047741382644,99.0064627355035,5.728452375130871,1.675204764291597,4.053247610839274,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.14937719257795345,46.0
2025-05-05,434.65618896484375,437.97461808249534,430.6102521137275,431.367624097433,20136100,,,401.37139350218513,395.232040014706,0.88690185546875,0.88690185546875,-0.0,4.585381553417567,0.0448279635845336,102.28841969969837,99.0318372544498,7.907248068029617,2.921613425039201,4.985634642990416,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.09019452574525745,41.0
2025-05-06,431.8061218261719,436.2107948487266,429.6735648726689,430.6999888667604,15104200,,,404.26993905685055,396.6663177328027,-2.850067138671875,0.0,2.850067138671875,3.9739973462952247,0.4188598535961791,9.487653954361877,90.46497906632308,9.296814858320886,4.1966537116955385,5.100161146625347,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.07434697046219774,66.0
2025-05-07,431.8459777832031,436.5994115910065,429.6137314736212,432.3342674079582,23295300,,,406.8962284593603,398.0459122445832,0.03985595703125,0.03985595703125,-0.0,3.4494451610600283,0.3630118731166886,9.502292945529138,90.47826979130588,10.28273957254794,5.413870883866019,4.86886868868192,35.02,11.33,0.33,32.66,14.95,0.7,,MSFT,0.13520881895881895,39.0
